"","UF","NU_ANO","casos_total","prop_F","prop_M","casos_F","casos_M","prop_igno","prop_indef","prop_pard","prop_ama","prop_pret","prop_bran","casos_igno","casos_indef","casos_pard","casos_ama","casos_pret","casos_bran"
"157","RJ",2025,9,0.777777777777778,0.222222222222222,7,2,0,0,0.111111111111111,0,0.222222222222222,0.666666666666667,0,0,1,0,2,6
"158","RN",2014,5,0.8,0.2,4,1,0,0,0.6,0,0,0.4,0,0,3,0,0,2
"159","RN",2015,3,0.333333333333333,0.666666666666667,1,2,0.333333333333333,0,0.666666666666667,0,0,0,1,0,2,0,0,0
"160","RN",2016,4,1,0,4,0,0,0,0.5,0,0,0.5,0,0,2,0,0,2
"161","RN",2017,14,0.642857142857143,0.285714285714286,9,4,0.357142857142857,0,0.357142857142857,0.0714285714285714,0,0.214285714285714,5,0,5,1,0,3
"162","RN",2018,2,1,0,2,0,0.5,0,0,0,0,0.5,1,0,0,0,0,1
"163","RN",2019,5,0.8,0.2,4,1,0,0,0.2,0,0,0.8,0,0,1,0,0,4
"164","RN",2021,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"165","RN",2022,2,0.5,0.5,1,1,0,0,1,0,0,0,0,0,2,0,0,0
"166","RN",2023,11,0.909090909090909,0.0909090909090909,10,1,0,0,0.272727272727273,0.0909090909090909,0,0.636363636363636,0,0,3,1,0,7
"167","RN",2024,10,0.8,0.2,8,2,0,0,0.2,0.2,0,0.6,0,0,2,2,0,6
"168","RN",2025,9,0.555555555555556,0.444444444444444,5,4,0.111111111111111,0,0.333333333333333,0.222222222222222,0,0.333333333333333,1,0,3,2,0,3
"169","RO",2015,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2
"170","RO",2018,4,0.5,0.5,2,2,0,0.25,0,0,0,0.75,0,1,0,0,0,3
"171","RO",2019,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"172","RO",2021,3,0.333333333333333,0.666666666666667,1,2,0,0,0.666666666666667,0.333333333333333,0,0,0,0,2,1,0,0
"173","RO",2022,4,0.75,0.25,3,1,0,0,0.75,0,0,0.25,0,0,3,0,0,1
"174","RO",2023,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"175","RO",2024,12,1,0,12,0,0.0833333333333333,0,0.25,0,0.25,0.416666666666667,1,0,3,0,3,5
"176","RO",2025,3,1,0,3,0,0,0,0.666666666666667,0,0,0.333333333333333,0,0,2,0,0,1
"177","RR",2018,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2
"178","RR",2019,5,0.8,0.2,4,1,0,0,0.4,0,0.2,0.4,0,0,2,0,1,2
"179","RR",2020,2,0.5,0.5,1,1,0,0,1,0,0,0,0,0,2,0,0,0
"180","RR",2023,11,0.909090909090909,0.0909090909090909,10,1,0,0.0909090909090909,0.636363636363636,0,0.0909090909090909,0.0909090909090909,0,1,7,0,1,1
"181","RR",2024,22,0.818181818181818,0.181818181818182,18,4,0.0909090909090909,0.0454545454545455,0.454545454545455,0,0.0454545454545455,0.272727272727273,2,1,10,0,1,6
"182","RR",2025,13,1,0,13,0,0,0,0.615384615384615,0,0.153846153846154,0.230769230769231,0,0,8,0,2,3
"183","RS",2013,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
"184","RS",2014,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
"185","RS",2015,3,0.666666666666667,0.333333333333333,2,1,0,0,0.333333333333333,0,0,0.666666666666667,0,0,1,0,0,2
"186","RS",2016,9,0.888888888888889,0.111111111111111,8,1,0.111111111111111,0,0,0,0.111111111111111,0.777777777777778,1,0,0,0,1,7
"187","RS",2017,6,1,0,6,0,0,0,0,0,0.166666666666667,0.833333333333333,0,0,0,0,1,5
"188","RS",2018,4,1,0,4,0,0,0,0,0,0.25,0.75,0,0,0,0,1,3
"189","RS",2019,27,0.888888888888889,0.111111111111111,24,3,0.37037037037037,0,0,0,0.037037037037037,0.592592592592593,10,0,0,0,1,16
"190","RS",2020,4,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,4
"191","RS",2021,5,0.8,0.2,4,1,0,0,0,0,0.2,0.8,0,0,0,0,1,4
"192","RS",2022,10,0.9,0.1,9,1,0.1,0,0,0,0,0.9,1,0,0,0,0,9
"193","RS",2023,29,0.827586206896552,0.172413793103448,24,5,0.0344827586206897,0,0.0344827586206897,0,0,0.931034482758621,1,0,1,0,0,27
"194","RS",2024,61,0.754098360655738,0.245901639344262,46,15,0.0491803278688525,0.0327868852459016,0.0819672131147541,0,0.0491803278688525,0.770491803278688,3,2,5,0,3,47
"195","RS",2025,49,0.857142857142857,0.142857142857143,42,7,0.0408163265306122,0.0204081632653061,0.0612244897959184,0,0.0816326530612245,0.795918367346939,2,1,3,0,4,39
"196","SC",2014,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2
"197","SC",2017,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
"198","SC",2018,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
"199","SC",2019,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
"200","SC",2020,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2
"201","SC",2021,2,1,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0
"202","SC",2023,10,0.8,0.2,8,2,0,0,0.2,0,0,0.8,0,0,2,0,0,8
"203","SC",2024,12,0.916666666666667,0.0833333333333333,11,1,0,0,0.25,0,0.0833333333333333,0.666666666666667,0,0,3,0,1,8
"204","SC",2025,9,1,0,9,0,0,0,0.111111111111111,0,0,0.888888888888889,0,0,1,0,0,8
"205","SE",2014,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"206","SE",2016,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"207","SE",2019,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"208","SE",2024,3,1,0,3,0,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,1,0,1,1
"209","SP",2013,28,0.785714285714286,0.214285714285714,22,6,0.75,0,0.0714285714285714,0,0,0.178571428571429,21,0,2,0,0,5
"210","SP",2014,6,0.833333333333333,0,5,0,0.166666666666667,0,0.166666666666667,0,0,0.666666666666667,1,0,1,0,0,4
"211","SP",2015,12,1,0,12,0,0,0,0.333333333333333,0,0,0.666666666666667,0,0,4,0,0,8
"212","SP",2016,26,0.923076923076923,0.0769230769230769,24,2,0.153846153846154,0,0.153846153846154,0,0.0769230769230769,0.615384615384615,4,0,4,0,2,16
"213","SP",2017,28,0.964285714285714,0.0357142857142857,27,1,0.107142857142857,0.0357142857142857,0.0357142857142857,0,0,0.821428571428571,3,1,1,0,0,23
"214","SP",2018,21,0.952380952380952,0.0476190476190476,20,1,0.380952380952381,0,0.142857142857143,0,0,0.476190476190476,8,0,3,0,0,10
"215","SP",2019,14,0.785714285714286,0.214285714285714,11,3,0.285714285714286,0,0.214285714285714,0,0.0714285714285714,0.428571428571429,4,0,3,0,1,6
"216","SP",2020,4,1,0,4,0,0.25,0,0.25,0,0,0.5,1,0,1,0,0,2
"217","SP",2021,34,0.970588235294118,0.0294117647058824,33,1,0.0588235294117647,0,0.235294117647059,0,0.117647058823529,0.588235294117647,2,0,8,0,4,20
"218","SP",2022,22,0.863636363636364,0.0909090909090909,19,2,0,0,0.318181818181818,0,0.136363636363636,0.545454545454545,0,0,7,0,3,12
"219","SP",2023,46,0.760869565217391,0.239130434782609,35,11,0.0869565217391304,0,0.282608695652174,0.0217391304347826,0.108695652173913,0.5,4,0,13,1,5,23
"220","SP",2024,39,0.82051282051282,0.179487179487179,32,7,0.0512820512820513,0,0.179487179487179,0,0.128205128205128,0.641025641025641,2,0,7,0,5,25
"221","SP",2025,34,0.852941176470588,0.147058823529412,29,5,0.0294117647058824,0,0.147058823529412,0,0.0882352941176471,0.735294117647059,1,0,5,0,3,25
"222","TO",2013,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"223","TO",2015,2,1,0,2,0,0,0,0.5,0,0.5,0,0,0,1,0,1,0
"224","TO",2019,4,1,0,4,0,0,0,0.75,0,0,0.25,0,0,3,0,0,1
"225","TO",2020,2,1,0,2,0,0,0,0,0,0.5,0.5,0,0,0,0,1,1
"226","TO",2022,2,0.5,0.5,1,1,0,0,0.5,0,0,0.5,0,0,1,0,0,1
"227","TO",2023,2,1,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0
"228","TO",2024,6,0.5,0.5,3,3,0,0,0.833333333333333,0,0,0.166666666666667,0,0,5,0,0,1
"229","TO",2025,6,0.833333333333333,0.166666666666667,5,1,0,0,0.833333333333333,0,0,0.166666666666667,0,0,5,0,0,1
