"","UF","NU_ANO","NÍVEL_ENSINO","casos_total","prop_F","prop_M","casos_F","casos_M","prop_igno","prop_indef","prop_pard","prop_ama","prop_pret","prop_bran","casos_igno","casos_indef","casos_pard","casos_ama","casos_pret","casos_bran"
"78","BA",2025,"EDUCAÇÃO INFANTIL",1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"79","BA",2025,"ENSINO FUNDAMENTAL",5,0.8,0.2,4,1,0,0,1,0,0,0,0,0,5,0,0,0
"80","BA",2025,"ENSINO MÉDIO",2,1,0,2,0,0,0,0.5,0,0.5,0,0,0,1,0,1,0
"81","BA",2025,"Indefinido",8,0.625,0.375,5,3,0.125,0,0.375,0.125,0.125,0.25,1,0,3,1,1,2
"82","CE",2013,"ENSINO FUNDAMENTAL",1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"83","CE",2013,"ENSINO MÉDIO",2,1,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0
"84","CE",2013,"Indefinido",4,0.25,0.75,1,3,0,0,1,0,0,0,0,0,4,0,0,0
"85","CE",2014,"EDUCAÇÃO DE JOVENS E ADULTOS - EJA",1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"86","CE",2014,"ENSINO MÉDIO",3,0.666666666666667,0.333333333333333,2,1,0,0,1,0,0,0,0,0,3,0,0,0
"87","CE",2015,"EDUCAÇÃO DE JOVENS E ADULTOS - EJA",3,1,0,3,0,0,0.333333333333333,0.666666666666667,0,0,0,0,1,2,0,0,0
"88","CE",2015,"EDUCAÇÃO INFANTIL",1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"89","CE",2015,"ENSINO FUNDAMENTAL",5,0.8,0.2,4,1,0,0,1,0,0,0,0,0,5,0,0,0
"90","CE",2015,"ENSINO MÉDIO",1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"91","CE",2016,"EDUCAÇÃO DE JOVENS E ADULTOS - EJA",2,1,0,2,0,0,0,0.5,0,0,0.5,0,0,1,0,0,1
"92","CE",2016,"ENSINO MÉDIO",1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"93","CE",2017,"EDUCAÇÃO DE JOVENS E ADULTOS - EJA",3,1,0,3,0,0,0,0.666666666666667,0,0,0.333333333333333,0,0,2,0,0,1
"94","CE",2017,"EDUCAÇÃO INFANTIL",2,1,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0
"95","CE",2017,"ENSINO FUNDAMENTAL",4,0.5,0.5,2,2,0,0,0.25,0,0,0.75,0,0,1,0,0,3
"96","CE",2018,"EDUCAÇÃO PROFISSIONALIZANTE",1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"97","CE",2018,"ENSINO FUNDAMENTAL",6,1,0,6,0,0,0,0.833333333333333,0,0,0.166666666666667,0,0,5,0,0,1
"98","CE",2018,"ENSINO MÉDIO",1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"99","CE",2018,"Indefinido",1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
"100","CE",2019,"ENSINO FUNDAMENTAL",3,1,0,3,0,0,0,0.666666666666667,0,0,0.333333333333333,0,0,2,0,0,1
"101","CE",2019,"ENSINO MÉDIO",2,0.5,0.5,1,1,0,0,0.5,0,0,0.5,0,0,1,0,0,1
"102","CE",2020,"EDUCAÇÃO DE JOVENS E ADULTOS - EJA",2,1,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0
"103","CE",2020,"ENSINO FUNDAMENTAL",4,0.25,0.75,1,3,0,0,1,0,0,0,0,0,4,0,0,0
"104","CE",2020,"ENSINO MÉDIO",2,1,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0
"105","CE",2020,"Indefinido",1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"106","CE",2021,"EDUCAÇÃO DE JOVENS E ADULTOS - EJA",3,1,0,3,0,0,0,0.666666666666667,0,0,0.333333333333333,0,0,2,0,0,1
"107","CE",2021,"EDUCAÇÃO PROFISSIONALIZANTE",1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
"108","CE",2022,"EDUCAÇÃO DE JOVENS E ADULTOS - EJA",1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"109","CE",2022,"EDUCAÇÃO INFANTIL",1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"110","CE",2022,"ENSINO FUNDAMENTAL",2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2
"111","CE",2022,"ENSINO MÉDIO",2,0.5,0.5,1,1,0,0,0.5,0,0,0.5,0,0,1,0,0,1
"112","CE",2023,"EDUCAÇÃO DE JOVENS E ADULTOS - EJA",2,1,0,2,0,0,0,0.5,0,0,0.5,0,0,1,0,0,1
"113","CE",2023,"ENSINO FUNDAMENTAL",1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
"114","CE",2023,"Indefinido",7,0.571428571428571,0.428571428571429,4,3,0,0,0.714285714285714,0,0.142857142857143,0.142857142857143,0,0,5,0,1,1
"115","CE",2024,"EDUCAÇÃO DE JOVENS E ADULTOS - EJA",6,0.833333333333333,0.166666666666667,5,1,0,0,0.833333333333333,0,0,0.166666666666667,0,0,5,0,0,1
"116","CE",2024,"EDUCAÇÃO INFANTIL",2,1,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0
"117","CE",2024,"ENSINO FUNDAMENTAL",3,1,0,3,0,0,0,1,0,0,0,0,0,3,0,0,0
"118","CE",2024,"ENSINO MÉDIO",3,0.666666666666667,0.333333333333333,2,1,0,0,0.666666666666667,0,0.333333333333333,0,0,0,2,0,1,0
"119","CE",2024,"Indefinido",15,0.666666666666667,0.333333333333333,10,5,0,0,0.866666666666667,0,0,0.133333333333333,0,0,13,0,0,2
"120","CE",2025,"EDUCAÇÃO DE JOVENS E ADULTOS - EJA",3,1,0,3,0,0,0,0.666666666666667,0,0,0.333333333333333,0,0,2,0,0,1
"121","CE",2025,"EDUCAÇÃO INFANTIL",2,1,0,2,0,0,0,0.5,0,0.5,0,0,0,1,0,1,0
"122","CE",2025,"ENSINO FUNDAMENTAL",2,1,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0
"123","CE",2025,"ENSINO MÉDIO",1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"124","CE",2025,"Indefinido",10,0.7,0.3,7,3,0,0,0.7,0,0.2,0.1,0,0,7,0,2,1
"125","DF",2024,"EDUCAÇÃO DE JOVENS E ADULTOS - EJA",1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"126","DF",2025,"ENSINO FUNDAMENTAL",1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"127","ES",2014,"ENSINO FUNDAMENTAL",1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
